"Sistema","Requisito","Estado real","Clasificacion","Evidencia en archivo","Riesgo","Prioridad"
"Scrib Runtime","Ejecutar scrib code real editado","Antes trataba scribs/*.scrib.ts como built-in; debe cargar artefacto revisado.","STUB_O_FACHADA","src/engine/gameplay/ScriptRuntime.ts","Critico","P0"
"Scrib Runtime","Ejecutar scene/global scribs","Composer los recoge, runtime ignora nodos que no sean entity.","IMPLEMENTADO_PARCIAL","src/engine/gameplay/ScriptRuntime.ts","Critico","P0"
"Scrib Runtime","Hot reload sin reiniciar escena","Hay eventos e invalidacion de cache; depende de resolver codigo real.","IMPLEMENTADO_PARCIAL","src/engine/gameplay/ScriptRuntime.ts; src/engine/editor/ScriptWorkspacePanel.tsx","Alto","P0"
"Scrib Studio UI","Create/Assign/Edit/Library/Console","Existe UI amplia.","IMPLEMENTADO_REAL","src/engine/editor/ScriptWorkspacePanel.tsx","Medio","P1"
"Scrib Studio UI","Monaco/CodeMirror, manifest/config editor robusto","Usa Textarea, no Monaco/CodeMirror; manifest/config no es editor especializado completo.","IMPLEMENTADO_PARCIAL","src/engine/editor/ScriptWorkspacePanel.tsx; package.json","Medio","P2"
"Manual / Hybrid / AI-first modes","Modos visibles MODE_MANUAL/HYBRID/AI_FIRST","Existen en UI/store.","IMPLEMENTADO_PARCIAL","src/engine/editor/EditorLayout.tsx; src/types/engine.ts","Medio","P1"
"Manual / Hybrid / AI-first modes","Mismo runtime real y reglas diferenciadas","Comparten base, pero los modos son mas superficie/flujo que contrato operacional completo.","IMPLEMENTADO_PARCIAL","src/engine/editor/EditorLayout.tsx; src/engine/gameplay/ScriptRuntime.ts","Alto","P1"
"Character AI pipeline","Niveles L1/L2/L3 y stages","Existe definicion clara de niveles/agentes/stages.","IMPLEMENTADO_PARCIAL","src/engine/ai/agent-levels.ts","Medio","P2"
"Character AI pipeline","Base mesh/full character backend-first","Existe API y mini-servicio procedural honesto.","IMPLEMENTADO_PARCIAL","src/app/api/character/base-mesh/route.ts; src/app/api/character/full/route.ts; mini-services/character-backend","Medio","P2"
"Character AI pipeline","Retopo/UV/rig/texturas AAA automaticas","No existe como promesa completa; hay fallback procedural y validators.","STUB_O_FACHADA","src/app/api/character/full/route.ts; mini-services/character-backend/README.md","Alto","P2"
"Final validator / retry loop","Validador final compara pedido vs resultado","Existe agente/validator con tests y reportes.","IMPLEMENTADO_PARCIAL","tests/unit/agentic-final-validator.test.ts; src/engine/agentic/execution/MasterOrchestrator.ts","Alto","P0"
"Final validator / retry loop","Retry loop real integrado hasta aprobacion final","Orchestrator replantea parcialmente, pero no todo flujo tool/editor queda obligado por validacion final.","IMPLEMENTADO_PARCIAL","src/engine/agentic/execution/MasterOrchestrator.ts; src/app/api/agentic/route.ts","Critico","P0"
